"时间","类型","技能","来源 → 目标",""
"02:28.553","施法","蛊毒法 +3% damage","脆薯 → 万魔殿",""
"02:29.401","施法","异想的祥光","脆薯 → 脆薯",""
"02:31.005","施法","毁坏 +3% damage","脆薯 → 万魔殿",""
"02:32.473","施法","野战治疗阵","脆薯",""
"02:34.341","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"02:35.009","施法","醒梦","脆薯 → 脆薯",""
"02:36.741","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:37.409","施法","仙光的低语","脆薯 → 脆薯",""
"02:39.191","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:41.639","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:42.262","施法","不屈不挠之策","脆薯",""
"02:44.039","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:44.661","施法","以太契约","脆薯 → 玛德琳",""
"02:46.441","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:48.894","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:51.299","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:53.741","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:56.138","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"02:57.649","施法","蛊毒法","脆薯 → 万魔殿",""
"02:58.360","施法","融光解除","脆薯 → 脆薯",""
"03:00.981","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:03.424","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:04.048","施法","转化","脆薯 → 脆薯",""
"03:05.826","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:06.495","施法","能量吸收","脆薯 → 万魔殿",""
"03:08.273","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:08.940","施法","能量吸收","脆薯 → 万魔殿",""
"03:10.717","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:11.341","施法","秘策","脆薯 → 脆薯",""
"03:13.119","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:13.742","施法","生命回生法","脆薯 → 脆薯",""
"03:16.057","施法","鼓舞激励之策 1.94 秒+32% healing","脆薯 → 脆薯",""
"03:17.079","施法","毁坏","脆薯 → 万魔殿",""
"03:17.835","施法","展开战术","脆薯",""
"03:19.484","施法","毁坏","脆薯 → 万魔殿",""
"03:20.908","施法","深谋远虑之策","脆薯 → 玛德琳",""
"03:22.825","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:23.760","施法","以太超流","脆薯 → 脆薯",""
"03:25.407","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:26.921","施法","蛊毒法","脆薯 → 万魔殿",""
"03:29.330","施法","毁坏","脆薯 → 万魔殿",""
"03:30.132","施法","野战治疗阵","脆薯",""
"03:31.821","施法","毁坏","脆薯 → 万魔殿",""
"03:33.025","施法","冲刺","脆薯 → 脆薯",""
"03:35.381","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:37.786","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:40.723","施法","士气高扬之策 1.94 秒","脆薯",""
"03:42.948","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:44.416","施法","毁坏","脆薯 → 万魔殿",""
"03:47.794","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:48.462","施法","醒梦","脆薯 → 脆薯",""
"03:49.306","施法","毁坏","脆薯 → 万魔殿",""
"03:50.108","施法","异想的祥光","脆薯 → 脆薯",""
"03:52.639","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:55.175","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"03:56.644","施法","蛊毒法","脆薯 → 万魔殿",""
"03:59.976","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:00.732","施法","野战治疗阵","脆薯",""
"04:02.420","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:04.863","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:05.487","施法","疾风怒涛之计","脆薯",""
"04:07.266","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:07.889","施法","仙光的低语","脆薯 → 脆薯",""
"04:09.713","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:10.336","施法","连环计","脆薯 → 万魔殿",""
"04:12.116","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:12.739","施法","不屈不挠之策 +10% healing","脆薯",""
"04:14.563","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:16.965","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:19.411","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:21.813","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"04:24.750","施法","鼓舞激励之策 1.94 秒","脆薯 → 玛德琳",""
"04:25.729","施法","蛊毒法 +6% damage","脆薯 → 万魔殿",""
"04:26.621","施法","以太超流","脆薯 → 脆薯",""
